string_idx,string_name,string_name_x,string_name_y,string_box_idx,CB_name,Phase,string_num,string_box_v1_x,string_box_v1_y,string_box_v2_x,string_box_v2_y,string_box_v3_x,string_box_v3_y,string_box_v4_x,string_box_v4_y,num_modules
0,I-10-NB04-7,16.0641279306353,38.3978863424843,0,0,0,0,30.2727651905331,38.8047054274417,1.8554906707376,38.815597484974,1.85549067073759,37.9910672575269,30.2727651905331,37.9801751999946,12
0,I-10-NB04-7,16.0641279306353,37.5324220017611,1,0,0,0,30.2727651905331,37.9392410867185,1.8554906707376,37.9501331442507,1.8554906707376,37.1256029168036,30.2727651905331,37.1147108592714,12
1,I-10-NB04-8,16.0641279306353,36.6669576610378,0,0,0,0,30.2727651905331,37.0737767459952,1.8554906707376,37.0846688035275,1.8554906707376,36.2601385760804,30.2727651905331,36.2492465185481,12
1,I-10-NB04-8,16.0641279306353,35.8014933203146,1,0,0,0,30.2727651905331,36.208312405272,1.8554906707376,36.2192044628043,1.8554906707376,35.3946742353571,30.2727651905331,35.3837821778249,12
2,I-10-NB04-9,44.8945110616842,38.4486853803702,0,0,0,0,59.103148321582,38.8555044653276,30.6858738017865,38.8663965228599,30.6858738017865,38.0418662954128,59.103148321582,38.0309742378805,12
2,I-10-NB04-9,44.8945110616842,37.583221039647,1,0,0,0,59.103148321582,37.9900401246044,30.6858738017865,38.0009321821367,30.6858738017865,37.1764019546895,59.103148321582,37.1655098971573,12
3,I-10-NB04-10,44.8945110616842,36.7177566989237,0,0,0,0,59.103148321582,37.1245757838811,30.6858738017865,37.1354678414134,30.6858738017865,36.3109376139663,59.103148321582,36.300045556434,12
3,I-10-NB04-10,44.8945110616842,35.8522923582005,1,0,0,0,59.103148321582,36.2591114431579,30.6858738017865,36.2700035006902,30.6858738017865,35.4454732732431,59.103148321582,35.4345812157108,12
4,I-10-NB04-11,73.8433788262576,38.569135011556,0,0,0,0,88.0520160861553,38.9759540965134,59.6347415663598,38.9868461540457,59.6347415663598,38.1623159265986,88.0520160861553,38.1514238690663,12
4,I-10-NB04-11,73.8433788262576,37.7036706708328,1,0,0,0,88.0520160861553,38.1104897557902,59.6347415663598,38.1213818133225,59.6347415663598,37.2968515858753,88.0520160861553,37.285959528343,12
5,I-10-NB04-12,73.8433788262576,36.8382063301095,0,0,0,0,88.0520160861553,37.2450254150669,59.6347415663598,37.2559174725992,59.6347415663598,36.4313872451521,88.0520160861553,36.4204951876198,12
5,I-10-NB04-12,73.8433788262576,35.9727419893863,1,0,0,0,88.0520160861553,36.3795610743437,59.6347415663598,36.390453131876,59.6347415663598,35.5659229044288,88.0520160861553,35.5550308468966,12
6,I-10-NB03-11,15.9876099760304,57.252046393255,0,0,0,0,30.1962472359281,57.6588654782124,1.7789727161327,57.6697575357447,1.77897271613269,56.8452273082976,30.1962472359281,56.8343352507653,12
6,I-10-NB03-11,15.9876099760304,56.3865820525317,1,0,0,0,30.1962472359282,56.7934011374892,1.7789727161327,56.8042931950214,1.7789727161327,55.9797629675743,30.1962472359282,55.968870910042,12
7,I-10-NB03-12,15.9876099760304,55.5211177118085,0,0,0,0,30.1962472359282,55.9279367967659,1.77897271613269,55.9388288542982,1.7789727161327,55.1142986268511,30.1962472359282,55.1034065693188,12
7,I-10-NB03-12,15.9876099760304,54.6556533710852,1,0,0,0,30.1962472359282,55.0624724560427,1.77897271613269,55.0733645135749,1.77897271613269,54.2488342861278,30.1962472359282,54.2379422285955,12
8,I-10-NB03-13,44.8179931070793,57.3028454311409,0,0,0,0,59.026630366977,57.7096645160983,30.6093558471816,57.7205565736306,30.6093558471816,56.8960263461835,59.026630366977,56.8851342886512,12
8,I-10-NB03-13,44.8179931070793,56.4373810904176,1,0,0,0,59.0266303669771,56.8442001753751,30.6093558471816,56.8550922329073,30.6093558471816,56.0305620054602,59.0266303669771,56.019669947928,12
9,I-10-NB03-14,44.8179931070793,55.5719167496944,0,0,0,0,59.026630366977,55.9787358346518,30.6093558471816,55.9896278921841,30.6093558471816,55.165097664737,59.026630366977,55.1542056072047,12
9,I-10-NB03-14,44.8179931070793,54.7064524089711,1,0,0,0,59.0266303669771,55.1132714939286,30.6093558471816,55.1241635514608,30.6093558471816,54.2996333240137,59.0266303669771,54.2887412664815,12
10,I-10-NB02-12,15.8771026056472,75.9799290677718,0,0,0,0,30.0857398655449,76.3867481527292,1.66846534574947,76.3976402102615,1.66846534574947,75.5731099828144,30.0857398655449,75.5622179252821,12
10,I-10-NB02-12,15.8771026056472,75.1144647270485,1,0,0,0,30.0857398655449,75.521283812006,1.66846534574947,75.5321758695382,1.66846534574947,74.7076456420911,30.0857398655449,74.6967535845588,12
11,I-10-NB02-13,15.8771026056472,74.2490003863253,0,0,0,0,30.0857398655449,74.6558194712827,1.66846534574947,74.666711528815,1.66846534574947,73.8421813013679,30.0857398655449,73.8312892438356,12
11,I-10-NB02-13,15.8771026056472,73.383536045602,1,0,0,0,30.0857398655449,73.7903551305595,1.66846534574947,73.8012471880917,1.66846534574947,72.9767169606446,30.0857398655449,72.9658249031123,12
